,Reading,,Math,,Writing,,
School,25%,75%,25%,75%,25%,75%,STATE
Alabama A&M University,370,454,370,460,NA,NA,Alabama
Alabama State University,370,460,360,480,NA,NA,Alabama
Auburn University,530,630,550,650,520,610,Alabama
Birmingham-Southern College,500,610,510,610,490,580,Alabama
Faulkner University,NA,NA,NA,NA,NA,NA,Alabama
Huntingdon College,428,500,408,513,NA,NA,Alabama
Jacksonville State University,430,540,430,540,NA,NA,Alabama
Oakwood University,410,515,380,500,NA,NA,Alabama
Samford University,520,630,510,630,510,620,Alabama
Spring Hill College,480,620,483,600,480,593,Alabama
Troy University,NA,NA,NA,NA,NA,NA,Alabama
Tuskegee University,400,490,390,510,400,510,Alabama
University of Alabama at Birmingham,500,630,500,640,NA,NA,Alabama
University of Alabama in Huntsville,500,640,510,640,NA,NA,Alabama
University of Alabama Main Campus,500,620,500,640,490,610,Alabama
University of Mobile,437,608,470,690,NA,NA,Alabama
University of Montevallo,NA,NA,485,605,NA,NA,Alabama
University of North Alabama,435,550,440,535,NA,NA,Alabama
University of South Alabama,445,570,440,580,440,555,Alabama
University of West Alabama,NA,NA,NA,NA,NA,NA,Alabama
Alaska Bible College,NA,NA,NA,NA,NA,NA,Alaska
Alaska Pacific University,458,580,404,500,415,550,Alaska
University of Alaska Anchorage,NA,NA,NA,NA,NA,NA,Alaska
University of Alaska Fairbanks,NA,NA,NA,NA,NA,NA,Alaska
University of Alaska Southeast,NA,NA,NA,NA,NA,NA,Alaska
Arizona Christian University,450,580,450,578,NA,NA,Arizona
Arizona State,480,610,490,630,NA,NA,Arizona
Dine College,NA,NA,NA,NA,NA,NA,Arizona
Embry-Riddle,498,600,518,630,NA,NA,Arizona
Northern Arizona University,470,580,470,590,460,560,Arizona
Prescott College,500,630,460,590,440,640,Arizona
University of Arizona,480,600,490,620,480,600,Arizona
Arkansas Baptist College,NA,NA,NA,NA,NA,NA,Arkansas
Arkansas State University,435,505,460,555,400,480,Arkansas
Arkansas Tech,440,570,450,580,NA,NA,Arkansas
Central Baptist College,410,480,400,490,360,530,Arkansas
Ecclesia College,NA,NA,NA,NA,NA,NA,Arkansas
Harding University,560,650,440,570,NA,NA,Arkansas
Henderston State University,430,520,430,530,NA,NA,Arkansas
Hendrix College,550,680,540,670,NA,NA,Arkansas
John Brown University,500,630,520,620,500,560,Arkansas
Lyon College,490,650,510,610,NA,NA,Arkansas
Ouachita Baptist University,470,590,460,570,NA,NA,Arkansas
Philander Smith College,NA,NA,NA,NA,NA,NA,Arkansas
Southern Arkansas University,390,520,440,550,NA,NA,Arkansas
University of Arkansas,500,610,520,630,NA,NA,Arkansas
University of Arkansas at Little Rock,410,505,455,590,410,505,Arkansas
University of Arkansas at Monticello,NA,NA,NA,NA,NA,NA,Arkansas
University of Arkansas at Pine Bluff,345,440,355,470,345,440,Arkansas
University of Arkansas at Fort Smith,460,620,460,580,460,570,Arkansas
University of Central Arkansas,NA,NA,NA,NA,NA,NA,Arkansas
University of the Ozarks,458,573,475,553,NA,NA,Arkansas
Williams Baptist College,NA,NA,NA,NA,NA,NA,Arkansas
Berkeley,600,720,650,770,620,740,California
Caltech,700,790,760,800,700,790,California
Claremont McKenna,650,750,660,760,660,740,California
Harvey Mudd,690,770,740,800,680,760,California
Occidental,600,700,600,700,610,700,California
Pepperdine,550,660,570,680,560,670,California
Pomona,680,770,680,760,680,780,California
Scripps,640,730,620,700,650,730,California
Stanford,680,780,700,790,700,780,California
UCLA,560,690,610,740,590,710,California
UCSD,520,650,590,710,550,670,California
USC,620,720,650,760,640,740,California
Adams State College,410,530,435,550,403,500,Colorado
U.S. Air Force Academy,600,690,630,720,NA,NA,Colorado
Colorado College,630,720,610,710,620,720,Colorado
Colorado Mesa University,420,540,420,540,NA,NA,Colorado
Colorado School of Mines,570,675,630,710,530,640,Colorado
Colorado State University,500,620,520,640,NA,NA,Colorado
CSU Pueblo,420,530,430,540,NA,NA,Colorado
Fort Lewis College,428,643,433,618,430,610,Colorado
Johnson & Wales University,NA,NA,NA,NA,NA,NA,Colorado
Metro State College,450,560,440,540,NA,NA,Colorado
Naropa University,NA,NA,NA,NA,NA,NA,Colorado
Regis University,490,600,470,600,NA,NA,Colorado
University of Colorado at Boulder,530,630,540,650,NA,NA,Colorado
University of Colorado at Colorado Springs,485,590,490,600,460,570,Colorado
University of Colorado Denver,480,590,490,620,NA,NA,Colorado
University of Denver,550,640,560,660,530,640,Colorado
University of Northern Colorado,470,580,470,570,NA,NA,Colorado
Western State College,460,560,460,550,NA,NA,Colorado
Albertus Magnus College,380,480,430,470,410,500,Connecticut
Central Connecticut State,450,550,460,560,450,550,Connecticut
Coast Guard Academy,550,640,610,680,530,640,Connecticut
Connecticut College,NA,NA,NA,NA,NA,NA,Connecticut
Eastern Connecticut State,460,550,460,560,NA,NA,Connecticut
Fairfield University,NA,NA,NA,NA,NA,NA,Connecticut
Quinnipiac University,490,580,500,600,500,590,Connecticut
Sacred Heart University,NA,NA,NA,NA,NA,NA,Connecticut
Southern Connecticut State,420,520,410,520,420,530,Connecticut
Trinity College,590,690,600,700,600,700,Connecticut
University of Bridgeport,410,490,410,500,410,490,Connecticut
University of Connecticut,550,650,580,680,NA,NA,Connecticut
University of Hartford,470,610,480,620,NA,NA,Connecticut
University of New Haven,470,570,480,580,470,570,Connecticut
Wesleyan University,640,740,660,740,660,750,Connecticut
Western Connecticut State,450,540,430,540,NA,NA,Connecticut
Yale University,700,790,700,800,710,790,Connecticut
Delaware State University,400,470,400,470,380,460,Delaware
Goldey-Beacom College,NA,NA,NA,NA,NA,NA,Delaware
University of Delaware,530,640,540,660,530,640,Delaware
Wesley College,360,470,360,475,360,455,Delaware
Widener University-Delaware Campus,NA,NA,NA,NA,NA,NA,Delaware
Wilmington University,NA,NA,NA,NA,NA,NA,Delaware
American University,590,690,570,670,580,680,DC
Catholic University of America,510,610,500,610,NA,NA,DC
Corcoran College of Art and Design,NA,NA,NA,NA,NA,NA,DC
Gallaudet University,350,530,350,530,NA,NA,DC
George Washington University,600,690,610,690,620,710,DC
Georgetown University,640,740,650,750,NA,NA,DC
Howard University,490,580,480,580,470,570,DC
Trinity Washington University,NA,NA,NA,NA,NA,NA,DC
University of the District of Columbia,NA,NA,NA,NA,NA,NA,DC
Eckerd,510,620,500,610,NA,NA,Florida
Flagler,540,600,520,580,520,580,Florida
Florida Tech,500,610,540,640,NA,NA,Florida
Florida International,530,610,530,610,520,600,Florida
Florida State,560,640,560,640,NA,NA,Florida
New College,620,740,570,670,590,690,Florida
Rollins,550,640,540,640,540,640,Florida
Stetson,530,630,525,630,510,610,Florida
UCF,530,630,550,650,510,610,Florida
University of Florida,580,670,590,690,570,670,Florida
University of Miami,600,700,630,720,590,690,Florida
USF,530,630,540,640,510,600,Florida
Agnes Scott College,NA,NA,NA,NA,NA,NA,Georgia
Berry College,520,630,520,620,510,620,Georgia
Covenant College,550,660,520,630,520,630,Georgia
Emory University,620,710,660,760,640,730,Georgia
Georgia Tech,600,690,660,760,600,700,Georgia
Mercer University,530,630,540,640,NA,NA,Georgia
Morehouse College,450,570,460,570,440,550,Georgia
Oglethorpe University,530,620,510,610,500,600,Georgia
SCAD,480,600,460,580,460,590,Georgia
Spelman College,480,570,465,560,NA,NA,Georgia
University of Georgia,560,650,560,660,560,650,Georgia
Wesleyan College,450,575,420,540,NA,NA,Georgia
Brigham Young University-Hawaii,465,570,470,585,NA,NA,Hawaii
Chaminade University of Honolulu,430,510,450,540,NA,NA,Hawaii
Hawaii Pacific University,430,530,440,540,420,520,Hawaii
University of Hawaii at Hilo,420,530,430,540,410,510,Hawaii
University of Hawaii at Manoa,480,580,500,600,470,560,Hawaii
University of Hawaii Maui College,NA,NA,NA,NA,NA,NA,Hawaii
University of Hawaii-West Oahu,390,470,400,510,380,480,Hawaii
Boise Bible College,460,570,410,560,420,560,Idaho
Boise State University,470,580,480,600,450,560,Idaho
BYU-Idaho,460,570,460,560,NA,NA,Idaho
The College of Idaho,473,630,483,618,463,600,Idaho
Idaho State University,NA,NA,NA,NA,NA,NA,Idaho
Lewis-Clark State College,440,530,440,540,NA,NA,Idaho
New Saint Andrews College,590,710,470,660,NA,NA,Idaho
Northwest Nazarene University,470,600,470,620,470,570,Idaho
University of Idaho,480,600,490,610,460,570,Idaho
Augustana College,NA,NA,NA,NA,NA,NA,Illinois
DePaul University,520,640,500,627,NA,NA,Illinois
Illinois College,NA,NA,NA,NA,NA,NA,Illinois
IIT,513,630,610,710,520,640,Illinois
Illinois Wesleyan,540,650,570,700,NA,NA,Illinois
Knox College,NA,NA,NA,NA,NA,NA,Illinois
Lake Forest,NA,NA,NA,NA,NA,NA,Illinois
Loyola University,550,650,540,650,540,630,Illinois
Northwestern University,680,760,700,780,680,770,Illinois
University of Chicago,700,780,700,790,NA,NA,Illinois
UIUC,550,680,680,790,570,680,Illinois
Wheaton College,600,720,610,700,600,710,Illinois
Butler University,530,620,540,640,520,620,Indiana
DePauw University,530,650,550,680,530,640,Indiana
Earlham College,NA,NA,NA,NA,NA,NA,Indiana
Goshen College,460,620,500,640,NA,NA,Indiana
Hanover College,500,620,490,600,470,580,Indiana
Indiana University,510,620,540,660,510,610,Indiana
Indiana Wesleyan,480,590,480,590,460,580,Indiana
Notre Dame,660,750,680,770,NA,NA,Indiana
Purdue University,510,620,550,680,510,620,Indiana
Rose-Hulman,560,670,630,730,NA,NA,Indiana
Saint Mary's College,510,623,500,610,510,610,Indiana
Taylor University,510,660,510,650,490,640,Indiana
University of Evansville,500,630,510,620,490,610,Indiana
Valparaiso University,500,600,510,620,480,580,Indiana
Wabash College,510,620,530,655,480,590,Indiana
Briar Cliff University,NA,NA,NA,NA,NA,NA,Iowa
Central College,460,550,470,570,NA,NA,Iowa
Clarke University,NA,NA,NA,NA,NA,NA,Iowa
Coe College,480,610,470,650,473,610,Iowa
Cornell College,530,690,540,690,520,660,Iowa
Dordt College,470,590,480,580,440,570,Iowa
Drake University,510,640,550,660,NA,NA,Iowa
Graceland University,380,520,410,540,NA,NA,Iowa
Grand View University,380,500,410,520,520,580,Iowa
Grinnell College,630,750,650,750,NA,NA,Iowa
Iowa State,480,630,520,660,NA,NA,Iowa
Loras College,NA,NA,463,575,NA,NA,Iowa
Luther College,450,605,500,620,450,595,Iowa
Morningside College,NA,NA,NA,NA,NA,NA,Iowa
Mount Mercy University,NA,NA,NA,NA,NA,NA,Iowa
Northwestern College,425,605,445,630,395,565,Iowa
St. Ambrose University,NA,NA,NA,NA,NA,NA,Iowa
Simpson College,NA,NA,NA,NA,NA,NA,Iowa
University of Dubuque,390,510,390,530,NA,NA,Iowa
University of Iowa,470,630,550,690,490,610,Iowa
University of Northern Iowa,NA,NA,460,520,NA,NA,Iowa
Upper Iowa University,NA,NA,NA,NA,NA,NA,Iowa
Wartburg College,420,543,470,595,418,540,Iowa
Baker University,420,525,420,570,NA,NA,Kansas
Benedictine College,500,653,480,630,NA,NA,Kansas
Bethany College,400,510,440,590,410,470,Kansas
Bethel College,460,620,440,640,400,530,Kansas
Emporia State University,445,636,453,568,NA,NA,Kansas
Fort Hays State University,NA,NA,NA,NA,NA,NA,Kansas
Friends University,390,515,400,510,NA,NA,Kansas
Haskell Indian Nations University,NA,NA,NA,NA,NA,NA,Kansas
Kansas State University,NA,NA,NA,NA,NA,NA,Kansas
Kansas Wesleyan University,440,540,460,570,NA,NA,Kansas
McPherson College,440,555,445,560,NA,NA,Kansas
MidAmerica Nazarene University,423,500,453,575,NA,NA,Kansas
Newman University,450,570,450,610,410,570,Kansas
Ottawa University,NA,NA,NA,NA,NA,NA,Kansas
Pittsburg State University,NA,NA,NA,NA,NA,NA,Kansas
Southwestern College,380,500,430,550,NA,NA,Kansas
Sterling College,420,530,410,520,430,490,Kansas
Tabor College,410,520,440,550,NA,NA,Kansas
University of Kansas,NA,NA,NA,NA,NA,NA,Kansas
University of Saint Mary,440,500,430,550,NA,NA,Kansas
Washburn University,NA,NA,NA,NA,NA,NA,Kansas
Wichita State University,430,570,455,590,NA,NA,Kansas
Asbury University,510,630,490,600,NA,NA,Kentucky
Bellarmine University,500,600,490,600,NA,NA,Kentucky
Berea College,540,660,525,625,500,610,Kentucky
Centre College,560,690,580,700,560,670,Kentucky
Eastern Kentucky University,430,555,430,550,410,520,Kentucky
Georgetown College,410,610,460,560,NA,NA,Kentucky
Kentucky Wesleyan College,388,548,435,578,395,503,Kentucky
Morehead State University,430,550,460,570,NA,NA,Kentucky
Murray State University,395,548,440,573,NA,NA,Kentucky
