question_id,topic_1,topic_2,topic_3,topic_4,number,question_type,difficulty,mc_answer,fr_min,fr_max,mfr_1,mfr_2,mfr_3,mfr_4,mfr_5,section_id,book_test_id,section_number,subject,
1,61,0,0,0,1,multiple_choice,1,A,,,,,,,,1,1,2,CR,
2,61,0,0,0,2,multiple_choice,3,B,,,,,,,,1,1,2,CR,
3,61,0,0,0,3,multiple_choice,5,A,,,,,,,,1,1,2,CR,
4,61,0,0,0,4,multiple_choice,4,D,,,,,,,,1,1,2,CR,
5,61,0,0,0,5,multiple_choice,5,C,,,,,,,,1,1,2,CR,
6,22,0,0,0,6,multiple_choice,1,D,,,,,,,,1,1,2,CR,
7,12,0,0,0,7,multiple_choice,3,B,,,,,,,,1,1,2,CR,
8,53,0,0,0,8,multiple_choice,3,C,,,,,,,,1,1,2,CR,
9,10,0,0,0,9,multiple_choice,3,A,,,,,,,,1,1,2,CR,
10,53,0,0,0,10,multiple_choice,4,D,,,,,,,,1,1,2,CR,
11,10,0,0,0,11,multiple_choice,3,B,,,,,,,,1,1,2,CR,
12,22,0,0,0,12,multiple_choice,3,C,,,,,,,,1,1,2,CR,
13,55,0,0,0,13,multiple_choice,4,E,,,,,,,,1,1,2,CR,
14,55,0,0,0,14,multiple_choice,2,E,,,,,,,,1,1,2,CR,
15,12,0,0,0,15,multiple_choice,5,B,,,,,,,,1,1,2,CR,
16,10,0,0,0,16,multiple_choice,2,C,,,,,,,,1,1,2,CR,
17,22,0,0,0,17,multiple_choice,3,A,,,,,,,,1,1,2,CR,
18,22,0,0,0,18,multiple_choice,3,E,,,,,,,,1,1,2,CR,
19,22,0,0,0,19,multiple_choice,3,B,,,,,,,,1,1,2,CR,
20,10,0,0,0,20,multiple_choice,3,A,,,,,,,,1,1,2,CR,
21,62,0,0,0,21,multiple_choice,3,D,,,,,,,,1,1,2,CR,
22,10,0,0,0,22,multiple_choice,4,E,,,,,,,,1,1,2,CR,
23,22,0,0,0,23,multiple_choice,4,E,,,,,,,,1,1,2,CR,
24,53,0,0,0,24,multiple_choice,4,C,,,,,,,,1,1,2,CR,
25,48,0,0,0,1,multiple_choice,1,A,,,,,,,,2,1,3,M,
26,48,0,0,0,2,multiple_choice,1,E,,,,,,,,2,1,3,M,
27,3,48,0,0,3,multiple_choice,1,B,,,,,,,,2,1,3,M,
28,64,0,0,0,4,multiple_choice,2,D,,,,,,,,2,1,3,M,
29,24,0,0,0,5,multiple_choice,1,C,,,,,,,,2,1,3,M,
30,64,0,0,0,6,multiple_choice,2,C,,,,,,,,2,1,3,M,
31,63,0,0,0,7,multiple_choice,2,D,,,,,,,,2,1,3,M,
32,4,0,0,0,8,multiple_choice,2,D,,,,,,,,2,1,3,M,
33,30,0,0,0,9,multiple_choice,3,D,,,,,,,,2,1,3,M,
34,2,0,0,0,10,multiple_choice,2,C,,,,,,,,2,1,3,M,
35,15,0,0,0,11,multiple_choice,3,B,,,,,,,,2,1,3,M,
36,23,0,0,0,12,multiple_choice,3,D,,,,,,,,2,1,3,M,
37,44,0,0,0,13,multiple_choice,3,E,,,,,,,,2,1,3,M,
38,48,14,0,0,14,multiple_choice,3,E,,,,,,,,2,1,3,M,
39,64,46,1,0,15,multiple_choice,3,B,,,,,,,,2,1,3,M,
40,54,63,0,0,16,multiple_choice,3,A,,,,,,,,2,1,3,M,
41,42,19,0,0,17,multiple_choice,4,C,,,,,,,,2,1,3,M,
42,17,0,0,0,18,multiple_choice,4,D,,,,,,,,2,1,3,M,
43,48,38,0,0,19,multiple_choice,5,A,,,,,,,,2,1,3,M,
44,15,63,0,0,20,multiple_choice,5,A,,,,,,,,2,1,3,M,
45,61,0,0,0,1,multiple_choice,1,C,,,,,,,,3,1,5,CR,
46,61,0,0,0,2,multiple_choice,1,B,,,,,,,,3,1,5,CR,
47,61,0,0,0,3,multiple_choice,1,C,,,,,,,,3,1,5,CR,
48,61,0,0,0,4,multiple_choice,3,A,,,,,,,,3,1,5,CR,
49,61,0,0,0,5,multiple_choice,3,D,,,,,,,,3,1,5,CR,
50,61,0,0,0,6,multiple_choice,4,B,,,,,,,,3,1,5,CR,
51,61,0,0,0,7,multiple_choice,5,D,,,,,,,,3,1,5,CR,
52,61,0,0,0,8,multiple_choice,5,C,,,,,,,,3,1,5,CR,
53,10,0,0,0,9,multiple_choice,4,A,,,,,,,,3,1,5,CR,
54,22,0,0,0,10,multiple_choice,3,B,,,,,,,,3,1,5,CR,
55,22,0,0,0,11,multiple_choice,4,E,,,,,,,,3,1,5,CR,
56,22,0,0,0,12,multiple_choice,5,C,,,,,,,,3,1,5,CR,
57,62,0,0,0,13,multiple_choice,2,D,,,,,,,,3,1,5,CR,
58,22,0,0,0,14,multiple_choice,4,D,,,,,,,,3,1,5,CR,
59,10,0,0,0,15,multiple_choice,1,E,,,,,,,,3,1,5,CR,
60,22,0,0,0,16,multiple_choice,5,E,,,,,,,,3,1,5,CR,
61,22,0,0,0,17,multiple_choice,3,B,,,,,,,,3,1,5,CR,
62,55,0,0,0,18,multiple_choice,3,E,,,,,,,,3,1,5,CR,
63,22,0,0,0,19,multiple_choice,4,A,,,,,,,,3,1,5,CR,
64,62,0,0,0,20,multiple_choice,3,D,,,,,,,,3,1,5,CR,
65,55,0,0,0,21,multiple_choice,3,A,,,,,,,,3,1,5,CR,
66,12,0,0,0,22,multiple_choice,2,C,,,,,,,,3,1,5,CR,
67,22,0,0,0,23,multiple_choice,3,E,,,,,,,,3,1,5,CR,
68,22,0,0,0,24,multiple_choice,3,E,,,,,,,,3,1,5,CR,
69,43,0,0,0,1,multiple_choice,1,C,,,,,,,,4,1,6,W,
70,59,0,0,0,2,multiple_choice,1,C,,,,,,,,4,1,6,W,
71,36,0,0,0,3,multiple_choice,1,B,,,,,,,,4,1,6,W,
72,59,0,0,0,4,multiple_choice,1,C,,,,,,,,4,1,6,W,
